trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6, 'e': 0.9900498337491681}",20,0,-123.69737954905769,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
2,False,"{'a': 0.6, 'e': 0.9801986733067553}",20,0,-41.34760327854184,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
3,False,"{'a': 0.6, 'e': 0.9704455335485082}",20,0,-106.91001079463229,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
4,False,"{'a': 0.6, 'e': 0.9607894391523232}",20,5,-2.577952448303578,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
5,False,"{'a': 0.6, 'e': 0.951229424500714}",20,1,-116.36606733829913,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 2}",1
6,False,"{'a': 0.6, 'e': 0.9417645335842487}",20,0,-130.83220632306637,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
7,False,"{'a': 0.6, 'e': 0.9323938199059483}",20,3,-53.89243387105961,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 1}",1
8,False,"{'a': 0.6, 'e': 0.9231163463866358}",20,0,-109.18320331520063,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
9,False,"{'a': 0.6, 'e': 0.9139311852712282}",25,4,-61.35127392064524,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 1}",1
10,False,"{'a': 0.6, 'e': 0.9048374180359595}",20,0,-22.285483242192832,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
11,False,"{'a': 0.6, 'e': 0.8958341352965282}",20,0,-27.63483913351829,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
12,False,"{'a': 0.6, 'e': 0.8869204367171575}",30,0,-74.3323270835852,"{0: 24, 1: 3, 2: 1, 3: 0, 4: 2}",0
13,False,"{'a': 0.6, 'e': 0.8780954309205613}",20,0,-59.14163874486148,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.6, 'e': 0.8693582353988059}",25,0,-39.43333213733966,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
15,False,"{'a': 0.6, 'e': 0.8607079764250578}",25,0,-79.73289492440205,"{0: 19, 1: 2, 2: 1, 3: 2, 4: 1}",0
