trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-69.76175714142016,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-155.51446326146043,"{0: 14, 1: 4, 2: 11, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-188.42247443865327,"{0: 9, 1: 3, 2: 4, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-56.49228867479141,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-113.08006642726079,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-151.81847014545104,"{0: 11, 1: 4, 2: 2, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,9,-28.70977482834191,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-87.53101591517152,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-40.97322575124486,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-79.24443078379205,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
